name,cam_id,Cx_ecef,Cy_ecef,Cz_ecef,lat,lon,alt,qw,qx,qy,qz,tx,ty,tz
0115.jpg,1,3941617.184483,509857.806219,4971991.778682,51.54979549,7.37042335,232.873,-0.351281567,-0.872309604,0.041111206,0.337619733,-41876.570444,4509033.168406,4492646.157657
0116.jpg,1,3941614.397530,509879.540118,4971991.800426,51.54979544,7.37073923,232.905,-0.350838761,-0.873006094,0.040034766,0.336407106,-61477.838140,4500425.464174,4501043.743910
0117.jpg,1,3941610.881669,509907.666385,4971991.811903,51.54979465,7.37114785,232.989,-0.349068258,-0.873860251,0.041336259,0.335873378,-59449.160334,4488133.035408,4513328.306491
0118.jpg,1,3941606.499101,509942.218510,4971991.709685,51.54979347,7.37164995,232.963,-0.350927640,-0.873182653,0.032578411,0.336660799,-94349.691116,4476874.877521,4523902.506461
0119.jpg,1,3941602.609114,509972.335901,4971991.731455,51.54979354,7.37208773,232.984,-0.350628867,-0.873901279,0.031789696,0.335179605,-115956.545126,4470045.896505,4530148.833316
0120.jpg,1,3941599.272759,509998.321018,4971991.784535,51.54979366,7.37246540,233.042,-0.350106493,-0.875248570,0.038453121,0.331491692,-128736.377594,4484067.272396,4515924.386175
0121.jpg,1,3941596.540718,510018.595654,4971991.910205,51.54979512,7.37276032,233.073,-0.351462199,-0.875241272,0.042386898,0.329591246,-134697.755579,4507811.908975,4492047.876059
0122.jpg,1,3941597.770032,510029.396774,4971989.738945,51.54976465,7.37291247,232.993,-0.351868102,-0.873636985,0.045915137,0.332925002,-76872.445248,4526108.776347,4474978.759984
0123.jpg,1,3941604.643539,510032.758808,4971983.992370,51.54968151,7.37294782,233.000,-0.352381029,-0.872254768,0.049127817,0.335537909,-29446.145059,4543325.612383,4458063.560091
0124.jpg,1,3941615.840291,510034.130848,4971975.085866,51.54955234,7.37294672,233.039,-0.352385515,-0.872212630,0.051703972,0.335255538,-20076.393846,4551422.172537,4449849.396022
0125.jpg,1,3941629.822704,510035.991509,4971963.956310,51.54939085,7.37294745,233.094,-0.353232705,-0.871868990,0.052249081,0.335173320,-19383.750045,4560737.013471,4440305.183081
